StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID82,Masc_fem,Fem_Thin_Purchase_1_1,Fem_Thin_Attract_1_1,Fem_Plus_Purchase_1_1,Fem_Plus_Attract_1_1,Fem_Plus_Purchase_2_1,Fem_Plus_Attract_2_1,Fem_Thin_Purchase_2_1,Fem_Thin_Attract_2_1,Fem_Thin_Purchase_3_1,Fem_Thin_Attract_3_1,Fem_Plus_Purchase_3_1,Fem_Plus_Attract_3_1,Fem_Plus_Purchase_4_1,Fem_Plus_Attract_4_1,Fem_Thin_Purchase_4_1,Fem_Thin_Attract_4_1,Fem_Thin_Purchase_5_1,Fem_Thin_Attract_5_1,Fem_Plus_Purchase_5_1,Fem_Plus_Attract_5_1,Fem_Thin_Purchase_6_1,Fem_Thin_Attract_6_1,Fem_Plus_Purchase_6_1,Fem_Plus_Attract_6_1,Fem_Thin_Purchase_7_1,Fem_Plus_Attract_7_1,Fem_Plus_Purchase_7_1,Fem_Plus_Attract_7_1,Fem_Plus_Purchase_8_1,Fem_Plus_Attract_8_1,Fem_Thin_Purchase_8_1,Fem_Thin_Purchase_8_1,Fem_Plus_Purchase_9_1,Fem_Plus_Attract_9_1,Fem_Thin_Purchase_9_1,Fem_Thin_Attract_9_1,Fem_Thin_Purchase_10_1,Fem_Thin_Attract_10_1,Fem_Plus_Purchase_10_1,Fem_Plus_Attract_10_1,Masc_Thin_Purchase_1_1,Masc_Thin_Attract_1_1,Masc_Plus_Purchase_1_1,Masc_Plus_Attract_1_1,Masc_Thin_Purchase_2_1,Masc_Thin_Attract_2_1,Masc_Plus_Purchase_2_1,Masc_Plus_Attract_2_1,Masc_Thin_Purchase_3_1,Masc_Thin_Attract_3_1,Masc_Plus_Purchase_3_1,Masc_Plus_Attract_3_1,Masc_Thin_Purchase_4_1,Masc_Thin_Attract_4_1,Masc_Plus_Purchase_4_1,Masc_Plus_Attract_4_1,Masc_Thin_Purchase_5_1,Masc_Thin_Attract_5_1,Masc_Plus_Purchase_5_1,Masc_Plus_Attract_5_1,Masc_Thin_Purchase_6_1,Masc_Thin_Attract_6_1,Masc_Plus_Purchase_6_1,Masc_Plus_Attract_6_1,Masc_Thin_Purchase_7_1,Masc_Thin_Attract_7_1,Masc_Plus_Purchase_7_1,Masc_Plus_Attract_7_1,Masc_Plus_Purchase_8_1,Masc_Plus_Attract_8_1,Masc_Thin_Purchase_8_1,Masc_Thin_Attract_8_1,Masc_Plus_Purchase_9_1,Masc_Plus_Attract_9_1,Masc_Thin_Purchase_9_1,Masc_Thin_Attract_9_1,Masc_Thin_Purchase_0_1,Masc_Thin_Attract_0_1,Masc_Plus_Purchase_0_1,Masc_Plus_Attract_0_1,Questionnaire_1,Questionnaire_2,Questionnaire_3,Questionnaire_4,Questionnaire_5,Questionnaire_6,Questionnaire_7,Questionnaire_8,Questionnaire_9,Questionnaire_10,Questionnaire_11,Questionnaire_12,Questionnaire_13,Questionnaire_14,Questionnaire_15,Questionnaire_16,Questionnaire_17,Questionnaire_18,Questionnaire_19,Questionnaire_20,Questionnaire_21,Questionnaire_22,Questionnaire_23,Debrief
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"University of Texas at Dallas

Consent Information Sheet

Class Projects


Title of Research Project: Analyzing Fashion Trends and Marketing                                                                                 



Investigators:                                                                            Contact Information

Investigator: Mi Huynh                                                                Mi.Huynh@UTDallas.edu

Co-Principal Investigator(s): Emily Lopez, Keydi Reyes             Kxr210067@UTDallas.edu

Faculty Sponsor: Danielle Fearon, PhD                                      Eml210005@UTDallas.edu



Purpose: The purpose of this study is to analyze how aspects of marketing influence the buyer’s likeliness to buy an object and to measure what other factors also have a significant influence. 



Description of Project:  The first part of this study will include several pictures each followed by two questions. The second part of this study will have participants complete an online survey filled with questions about themselves. In all, this study should take 10-15 minutes. 



By its very nature, the topic of this study may be upsetting. If you find that to be true, we encourage you to discuss this with a trained professional or contact the Student Counseling Center at 972-883-2575/972-883-8255.



For scientific reasons, this consent form does not include complete information about the study hypotheses and the research questions being tested. You will be fully debriefed following your participation in the research.



Voluntary Participation: All individuals have the right to agree or refuse to participate in this study. Individuals who consent to participate also have the right to change their minds during the study and can stop participating at any time. Refusal or withdrawal of participation will not involve any penalty. Your decision whether or not to participate will not affect your grades or education in any way.



Records of Participation in this Research: All of the information participants provide to investigators as part of this research will be protected and held in confidence within the limits of the law and institutional regulation.



All responses are treated as confidential, and in no case will responses from individual participants be identified. Data will be stored securely using password protected computers and access will be limited to the approved study personnel associated with this research. The de-identified data from this study will be used for class purposes, and all data will be destroyed at the end of the current semester.



Participants should be aware that while the experiment may be run from a ""secure"" https server, there is a small possibility that responses could be viewed by unauthorized third parties (computer hackers).



Information Available to Others: Members of The University of Texas at Dallas’ Human Subjects Research Office (HSR) may review the records related to this research project, which has been designated by the HSR as exempt from review by an Institutional Review Board. HSR is responsible for assuring the community that the rights of participants in UTD affiliated research are respected.



Contact People: Participants who want more information about this research may contact any of the investigators listed at the top of this document. Participants who want more information about their rights as a participant or who want to report a research related concern may contact the UTD Human Subjects Research Office, HSR@utdallas.edu.



Before taking part in this study, please ensure that you have read the information provided above. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, please click on the ""I Agree"" button to begin the study.",Do you mostly wear masculine or feminine clothing?,Fem_Thin_Purchase_1 - How likely are you to purchase this outfit?,Fem_Thin_Attract_1 - How attractive do you perceive this model?,Fem_Plus_Purchase_1 - How likely are you to purchase this outfit?,Fem_Plus_Attract_1 - How attractive do you perceive this model?,Fem_Plus_Purchase_2 - How likely are you to purchase this outfit?,Fem_Plus_Attract_2 - How attractive do you perceive this model?,Fem_Thin_Purchase_2 - How likely are you to purchase this outfit?,Fem_Thin_Attract_2 - How attractive do you perceive this model?,Fem_Thin_Purchase_3 - How likely are you to purchase this outfit?,Fem_Thin_Attract_3 - How attractive do you perceive this model?,Fem_Plus_Purchase_3 - How likely are you to purchase this outfit?,Fem_Plus_Attract_3 - How attractive do you perceive this model?,Fem_Plus_Purchase_4 - How likely are you to purchase this outfit?,Fem_Plus_Attract_4 - How attractive do you perceive this model?,Fem_Thin_Purchase_4 - How likely are you to purchase this outfit?,Fem_Thin_Attract_4 - How attractive do you perceive this model?,Fem_Thin_Purchase_5 - How likely are you to purchase this outfit?,Fem_Thin_Attract_5 - How attractive do you perceive this model?,Fem_Plus_Purchase_5 - How likely are you to purchase this outfit?,Fem_Plus_Attract_5 - How attractive do you perceive this model?,Fem_Thin_Purchase_6 - How likely are you to purchase this outfit?,Fem_Thin_Attract_6 - How attractive do you perceive this model?,Fem_Plus_Purchase_6 - How likely are you to purchase this outfit?,Fem_Plus_Attract_6 - How attractive do you perceive this model?,Fem_Thin_Purchase_7 - How likely are you to purchase this outfit?,Fem_Plus_Attract_7 - How attractive do you perceive this model?,Fem_Plus_Purchase_7 - How likely are you to purchase this outfit?,Fem_Plus_Attract_7 - How attractive do you perceive this model?,Fem_Plus_Purchase_8 - How likely are you to purchase this outfit?,Fem_Plus_Attract_8 - How attractive do you perceive this model?,Fem_Thin_Purchase_8 - How likely are you to purchase this outfit?,Fem_Thin_Purchase_8 - How attractive do you perceive this model?,Fem_Plus_Purchase_9 - How likely are you to purchase this outfit?,Fem_Plus_Attract_9 - How attractive do you perceive this model?,Fem_Thin_Purchase_9 - How likely are you to purchase this outfit?,Fem_Thin_Attract_9 - How attractive do you perceive this model?,Fem_Thin_Purchase_10 - How likely are you to purchase this outfit?,Fem_Thin_Attract_10 - How attractive do you perceive this model?,Fem_Plus_Purchase_10 - How likely are you to purchase this outfit?,Fem_Plus_Attract_10 - How attractive do you perceive this model?,Masc_Thin_Purchase_1 - How likely are you to purchase this outfit?,Masc_Thin_Attract_1 - How attractive do you perceive this model?,Masc_Plus_Purchase_1 - How likely are you to purchase this outfit?,Masc_Plus_Attract_1 - How attractive do you perceive this model?,Masc_Thin_Purchase_2 - How likely are you to purchase this outfit?,Masc_Thin_Attract_2 - How attractive do you perceive this model?,Masc_Plus_Purchase_2 - How likely are you to purchase this outfit?,Masc_Plus_Attract_2 - How attractive do you perceive this model?,Masc_Thin_Purchase_3 - How likely are you to purchase this outfit?,Masc_Thin_Attract_3 - How attractive do you perceive this model?,Masc_Plus_Purchase_3 - How likely are you to purchase this outfit?,Masc_Plus_Attract_3 - How attractive do you perceive this model?,Masc_Thin_Purchase_4 - How likely are you to purchase this outfit?,Masc_Thin_Attract_4 - How attractive do you perceive this model?,Masc_Plus_Purchase_4 - How likely are you to purchase this outfit?,Masc_Plus_Attract_4 - How attractive do you perceive this model?,Masc_Thin_Purchase_5 - How likely are you to purchase this outfit?,Masc_Thin_Attract_5 - How attractive do you perceive this model?,Masc_Plus_Purchase_5 - How likely are you to purchase this outfit?,Masc_Plus_Attract_5 - How attractive do you perceive this model?,Masc_Thin_Purchase_6 - How likely are you to purchase this outfit?,Masc_Thin_Attract_6 - How attractive do you perceive this model?,Masc_Plus_Purchase_6 - How likely are you to purchase this outfit?,Masc_Plus_Attract_6 - How attractive do you perceive this model?,Masc_Thin_Purchase_7 - How likely are you to purchase this outfit?,Masc_Thin_Attract_7 - How attractive do you perceive this model?,Masc_Plus_Purchase_7 - How likely are you to purchase this outfit?,Masc_Plus_Attract_7 - How attractive do you perceive this model?,Masc_Plus_Purchase_8 - How likely are you to purchase this outfit?,Masc_Plus_Attract_8 - How attractive do you perceive this model?,Masc_Thin_Purchase_8 - How likely are you to purchase this outfit?,Masc_Thin_Attract_8 - How attractive do you perceive this model?,Masc_Plus_Purchase_9 - How likely are you to purchase this outfit?,Masc_Plus_Attract_9 - How attractive do you perceive this model?,Masc_Thin_Purchase_9 - How likely are you to purchase this outfit?,Masc_Thin_Attract_9 - How attractive do you perceive this model?,Masc_Thin_Purchase_0 - How likely are you to purchase this outfit?,Masc_Thin_Attract_0 - How attractive do you perceive this model?,Masc_Plus_Purchase_0 - How likely are you to purchase this outfit?,Masc_Plus_Attract_0 - How attractive do you perceive this model?,"Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I like what I look like in pictures.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - Other people consider me good looking.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I'm proud of my body.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I am preoccupied with trying to change my body weight.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I think my appearance would help me get a job.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I like what I see when I look in the mirror.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - There are lots of things I'd change about my looks if I could.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I am satisfied with my weight.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I wish I looked better.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I really like what I weigh.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I wish I looked like someone else.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - People my own age like my looks.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - My looks upset me.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I'm as nice looking as most people.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I'm pretty happy about the way I look.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I feel I weigh the right amount for my height.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I feel ashamed of how I look.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - Weighing myself depresses me.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - My weight makes me unhappy.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - My looks help me to get dates.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I worry about the way I look.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I think I have a good body.","Indicate how often you agree with the following statements ranging from ""never"" to ""always"". - I'm looking as nice as I'd like to.","Debriefing Form – Class Projects
Body Satisfaction and Perception of Other Bodies


Thank you for participating in this research study.  For this project it was important that we provide you with incorrect information about some aspects of the study. Now that your participation is complete, we will describe the incorrect information to you, explain why it was important, and answer any questions you may have. You will also be provided the opportunity to make a decision as to whether or not you would like to have your data included in this study.



What you should know about this study. 

The true title of our study is ""Body Satisfaction and Perception of Other Bodies"". The correct purpose of our study was to analyze if one’s body image perception affects whether they are more likely to buy something seen on a thin model compared to if it were on a plus-size model. Deception was needed in order to collect unbiased data measuring participants’ implicit bias towards the bodies of others. The first part of our study was measuring how likely one was to buy an outfit and its relation to the model’s attractiveness. Following, was our survey which compiled a series of questions that assessed one’s body image perception and satisfaction. 



If you have questions: If you have questions about the research study or your participation, you may contact Mi Huynh at Mi.Huynh@UTDallas.edu or Danielle Fearon at Danielle.Fearon@UTDallas.edu.  If you have any questions or concerns regarding your rights as a research participant in this study, you may contact the Human Subjects Research Office (HSR) at 972-883-4575 or HSR@utdallas.edu.  



Right to Withdraw Data. You have the right to withdraw your data from the study.  If you do so, we will not keep any of the data that we collected today prior to this debriefing form. 



Please select one of the options below:"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82""}","{""ImportId"":""QID21""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID128_1""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID149_1""}","{""ImportId"":""QID150_1""}","{""ImportId"":""QID151_1""}","{""ImportId"":""QID152_1""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID155_1""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID79_3""}","{""ImportId"":""QID79_4""}","{""ImportId"":""QID79_5""}","{""ImportId"":""QID79_6""}","{""ImportId"":""QID79_7""}","{""ImportId"":""QID79_8""}","{""ImportId"":""QID79_9""}","{""ImportId"":""QID79_10""}","{""ImportId"":""QID79_11""}","{""ImportId"":""QID79_12""}","{""ImportId"":""QID79_13""}","{""ImportId"":""QID79_14""}","{""ImportId"":""QID79_15""}","{""ImportId"":""QID79_16""}","{""ImportId"":""QID79_17""}","{""ImportId"":""QID79_18""}","{""ImportId"":""QID79_19""}","{""ImportId"":""QID79_20""}","{""ImportId"":""QID79_21""}","{""ImportId"":""QID79_22""}","{""ImportId"":""QID79_23""}","{""ImportId"":""QID87""}"
2024-02-07 12:55:11,2024-02-07 12:57:46,1,*******,100,154,1,2024-02-07 12:57:47,R_7ugI1cgZyAkGHyF,*******,*******,*******,*******,*******,*******,preview,EN,,1,1,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 12:58:09,2024-02-07 12:58:18,1,*******,100,8,1,2024-02-07 12:58:19,R_7arbRcl4rnIaWIt,*******,*******,*******,*******,*******,*******,preview,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12 13:13:49,2024-02-12 13:15:05,1,*******,100,76,1,2024-02-12 13:15:07,R_5KrQsu4lG1gsUOy,*******,*******,*******,*******,*******,*******,preview,EN,,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-21 12:10:59,2024-02-21 12:11:22,1,*******,100,22,1,2024-02-21 12:11:23,R_67tHLgQcTvHmeuB,*******,*******,*******,*******,*******,*******,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-26 12:03:10,2024-02-26 12:07:45,1,*******,100,275,1,2024-02-26 12:07:47,R_69RHhe4zTDezQ2d,*******,*******,*******,*******,*******,*******,preview,EN,1,2,4,4,2,4,4,4,4,4,2,4,2,3,2,4,1,3,2,4,2,3,2,3,2,3,2,3,2,3,2,3,4,3,2,3,2,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,3,0,1,1,1,0,1,0,1,2,2,0,3,1,0,1,2,2,2
2024-02-26 12:52:28,2024-02-26 12:58:05,1,*******,100,336,1,2024-02-26 12:58:06,R_5l3tWft5RZHmSqc,*******,*******,*******,*******,*******,*******,preview,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,2,2,0,0,3,1,2,1,4,0,4,3,4,4,2,0,4,4,4,1,4,3,4,1
2024-02-26 12:52:33,2024-02-26 13:00:08,1,*******,100,455,1,2024-02-26 13:00:10,R_5339UcGRQ3jgoUJ,*******,*******,*******,*******,*******,*******,preview,EN,1,2,4,5,2,5,5,4,5,4,5,5,2,3,5,4,2,5,5,3,1,4,2,5,3,5,1,4,5,5,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,2,1,1,3,3,3,4,3,4,1,,,,,,,,,,1
2024-02-29 08:19:29,2024-02-29 08:22:14,0,*******,100,165,1,2024-02-29 08:22:15,R_6F5Oh1QKYtncGam,*******,*******,*******,*******,*******,*******,anonymous,EN,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
