Masc_fem,Fem_Thin_Purchase_1_1,Fem_Thin_Attract_1_1,Fem_Plus_Purchase_1_1,Fem_Plus_Attract_1_1,Fem_Plus_Purchase_2_1,Fem_Plus_Attract_2_1,Fem_Thin_Purchase_2_1,Fem_Thin_Attract_2_1,Fem_Thin_Purchase_3_1,Fem_Thin_Attract_3_1,Fem_Plus_Purchase_3_1,Fem_Plus_Attract_3_1,Fem_Plus_Purchase_4_1,Fem_Plus_Attract_4_1,Fem_Thin_Purchase_4_1,Fem_Thin_Attract_4_1,Fem_Thin_Purchase_5_1,Fem_Thin_Attract_5_1,Fem_Plus_Purchase_5_1,Fem_Plus_Attract_5_1,Fem_Thin_Purchase_6_1,Fem_Thin_Attract_6_1,Fem_Plus_Purchase_6_1,Fem_Plus_Attract_6_1,Fem_Thin_Purchase_7_1,Fem_Thin_Attract_7_1,Fem_Plus_Purchase_7_1,Fem_Plus_Attract_7_1,Fem_Plus_Purchase_8_1,Fem_Plus_Attract_8_1,Fem_Thin_Purchase_8_1,Fem_Thin_Attract_8_1,Fem_Plus_Purchase_9_1,Fem_Plus_Attract_9_1,Fem_Thin_Purchase_9_1,Fem_Thin_Attract_9_1,Fem_Thin_Purchase_10_1,Fem_Thin_Attract_10_1,Fem_Plus_Purchase_10_1,Fem_Plus_Attract_10_1,Masc_Thin_Purchase_1_1,Masc_Thin_Attract_1_1,Masc_Plus_Purchase_1_1,Masc_Plus_Attract_1_1,Masc_Thin_Purchase_2_1,Masc_Thin_Attract_2_1,Masc_Plus_Purchase_2_1,Masc_Plus_Attract_2_1,Masc_Thin_Purchase_3_1,Masc_Thin_Attract_3_1,Masc_Plus_Purchase_3_1,Masc_Plus_Attract_3_1,Masc_Thin_Purchase_4_1,Masc_Thin_Attract_4_1,Masc_Plus_Purchase_4_1,Masc_Plus_Attract_4_1,Masc_Thin_Purchase_5_1,Masc_Thin_Attract_5_1,Masc_Plus_Purchase_5_1,Masc_Plus_Attract_5_1,Masc_Thin_Purchase_6_1,Masc_Thin_Attract_6_1,Masc_Plus_Purchase_6_1,Masc_Plus_Attract_6_1,Masc_Thin_Purchase_7_1,Masc_Thin_Attract_7_1,Masc_Plus_Purchase_7_1,Masc_Plus_Attract_7_1,Masc_Plus_Purchase_8_1,Masc_Plus_Attract_8_1,Masc_Thin_Purchase_8_1,Masc_Thin_Attract_8_1,Masc_Plus_Purchase_9_1,Masc_Plus_Attract_9_1,Masc_Thin_Purchase_9_1,Masc_Thin_Attract_9_1,Masc_Thin_Purchase_0_1,Masc_Thin_Attract_0_1,Masc_Plus_Purchase_0_1,Masc_Plus_Attract_0_1,Questionnaire_1,Questionnaire_2,Questionnaire_3,Questionnaire_4,Questionnaire_5,Questionnaire_6,Questionnaire_7,Questionnaire_8,Questionnaire_9,Questionnaire_10,Questionnaire_11,Questionnaire_12,Questionnaire_13,Questionnaire_14,Questionnaire_15,Questionnaire_16,Questionnaire_17,Questionnaire_18,Questionnaire_19,Questionnaire_20,Questionnaire_21,Questionnaire_22,Questionnaire_23,Debrief
2,4,3,2,3,4,3,5,4,5,4,4,4,2,3,1,4,3,5,1,3,4,3,4,5,1,4,1,3,1,3,4,4,5,3,5,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,1,3,3,2,2,1,3,2,4,1,0,0,3,2,2,2,1
2,4,2,4,4,4,4,2,1,5,5,4,4,5,4,4,4,4,2,5,4,4,2,4,4,2,2,4,4,4,4,4,4,5,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,3,1,4,0,4,0,3,1,4,1,1,0,3,4,4,3,3,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,2,4,4,5,1,1,5,4,1,1,4,1,2,5,4,5,2,4,4,5,2,5,3,1,2,4,1,5,5,4,2,4,4,5,4,2,2,1,3,2,3,2,3,2,2,3,2,1,3,1,2,3,3,0,0,0,3,3,2,1,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,4,1,4,1,3,1,3,1,2,4,2,1,2,2,4,1,2,1,4,2,3,4,3,1,3,1,3,1,4,2,4,1,4,1,2,2,2,2,3,2,2,1,3,1,2,1,2,0,3,1,4,3,3,0,0,0,3,1,3,3,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,3,3,4,3,3,3,3,3,5,3,5,3,3,3,4,3,3,2,2,3,0,1,1,1,3,0,0,1,0,1,2,1,0,0,1,0,0,2,1,1
2,1,4,4,5,1,4,3,5,3,5,4,5,4,5,3,4,4,5,1,4,5,5,3,5,3,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,4,1,3,1,3,1,4,1,3,3,1,1,1,1,4,2,1,1,1
2,1,3,1,1,4,3,2,5,2,4,1,1,1,2,5,4,4,4,2,4,5,4,4,4,2,4,4,4,1,2,2,3,2,3,4,4,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,2,0,1,4,2,4,1,4,4,3,2,1,1,3,3,3,1,4,2,0,1
2,2,3,4,4,4,4,3,4,5,5,4,5,5,5,4,4,2,3,1,4,1,3,4,4,1,3,1,3,2,3,4,3,4,3,4,5,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,4,4,2,1,0,3,0,0,1,3,4,2,0,1,3,3,0,4,1,1,1
2,4,3,5,3,1,3,1,4,3,3,1,4,2,3,1,4,5,5,1,5,1,3,1,3,1,4,5,5,1,4,1,4,5,4,2,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,2,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,5,2,5,4,4,4,3,5,4,4,3,2,4,5,5,4,3,5,4,3,4,2,4,2,4,3,3,2,3,2,4,4,4,1,3,2,3,3,3,2,2,1,2,2,2,1,2,0,2,1,2,3,2,1,0,1,3,2,2,2,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,3,4,5,5,3,3,4,3,1,2,3,4,4,5,3,3,3,5,4,4,3,3,2,3,2,3,3,3,3,4,4,4,4,3,3,3,1,2,0,4,4,1,1,0,3,0,1,2,1,2,1,0,3,4,0,1,3,0,1,1
2,1,4,1,3,1,4,4,5,2,4,1,3,2,4,1,5,4,5,2,4,2,5,5,5,4,5,1,4,4,4,1,4,1,4,1,4,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,2,2,1,2,1,1,2,1,2,0,1,1,0,2,1,1,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,2,4,3,4,4,4,2,4,1,3,2,3,4,3,3,4,2,4,4,2,5,4,1,4,3,3,4,5,3,3,5,5,4,3,3,3,0,1,1,3,4,1,4,0,4,0,4,2,3,1,1,1,3,4,3,2,3,1,1,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,2,4,4,4,4,5,2,3,1,4,2,3,5,3,2,3,2,3,2,3,4,2,2,3,2,2,4,4,2,3,4,2,2,3,2,3,1,3,1,3,2,1,0,0,1,0,1,1,1,1,2,0,0,4,3,1,3,0,1,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,3,4,4,4,5,4,5,3,4,3,4,4,5,5,4,3,2,4,4,4,1,4,2,3,2,3,3,4,3,4,4,4,2,3,4,3,3,1,3,1,2,2,1,2,2,1,0,3,1,3,2,1,1,0,1,1,1,3,2,1
